movie_title,genres,tomatometer_rating
A Hole in the Head,Classics; Comedy; Drama; Musical & Performing Arts,75.0
Hot Pursuit,Comedy,0.0
100 Bloody Acres,Comedy; Horror,79.0
100 Girls,Comedy; Romance,60.0
100 Streets,Drama,41.0
The Hound of the Baskervilles,Classics; Drama; Horror; Mystery & Suspense,91.0
The Hound of the Baskervilles,Art House & International; Classics; Mystery & Suspense,94.0
House (Ding Dong; You're Dead),Comedy; Horror,57.0
House of Wax,Drama; Horror; Mystery & Suspense,95.0
House On Haunted Hill,Classics; Drama; Horror,88.0
Hud,Classics; Drama,82.0
The Human Factor,Drama; Mystery & Suspense; Romance,33.0
The Hunchback of Notre Dame,Classics; Drama; Horror; Special Interest,92.0
The Hunchback of Notre Dame,Classics; Drama; Romance,93.0
The Hunter,Action & Adventure; Drama; Mystery & Suspense; Television,50.0
Hustle,Action & Adventure; Classics; Drama; Mystery & Suspense,63.0
I; the Jury,Action & Adventure; Drama; Mystery & Suspense,40.0
Imitation of Life,Classics; Drama,81.0
The Importance of Being Earnest,Classics; Comedy,88.0
Impulse,Action & Adventure; Drama; Mystery & Suspense,25.0
In Cold Blood,Drama,84.0
The Incubus,Horror; Mystery & Suspense,29.0
Indiscreet,Classics; Comedy; Romance,100.0
The Informer,Classics; Drama,94.0
Inherit the Wind,Classics; Drama; Faith & Spirituality,92.0
Intolerance,Classics,97.0
Invaders from Mars,Classics; Science Fiction & Fantasy,82.0
Invaders From Mars,Horror; Mystery & Suspense; Science Fiction & Fantasy,33.0
Invasion of the Body Snatchers,Classics; Mystery & Suspense; Science Fiction & Fantasy,98.0
